Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Survival
3,1,-0.6138219066108579,1,0,7.25,0.0,0.0,1.0,0
1,0,0.6285723726865892,1,0,71.2833,1.0,0.0,0.0,1
3,0,-0.3032233367864962,0,0,7.925,0.0,0.0,1.0,1
1,0,0.3956234453183177,1,0,53.1,0.0,0.0,1.0,1
3,1,0.3956234453183177,0,0,8.05,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,8.4583,0.0,1.0,0.0,0
1,1,1.870966651984036,0,0,51.8625,0.0,0.0,1.0,0
3,1,-2.1668147557326667,3,1,21.075,0.0,0.0,1.0,0
3,0,-0.22557369433040575,0,2,11.1333,0.0,0.0,1.0,1
2,0,-1.2350190462595816,1,0,30.0708,1.0,0.0,0.0,1
3,0,-2.0115154708204863,1,1,16.7,0.0,0.0,1.0,1
1,0,2.1815652218083983,0,0,26.55,0.0,0.0,1.0,1
3,1,-0.7691211915230389,0,0,8.05,0.0,0.0,1.0,0
3,1,0.7062220151426796,1,5,31.275,0.0,0.0,1.0,0
3,0,-1.2350190462595816,0,0,7.8542,0.0,0.0,1.0,0
2,0,1.9486162944401269,0,0,16.0,0.0,0.0,1.0,1
3,1,-2.1668147557326667,4,1,29.125,0.0,1.0,0.0,0
2,1,0.007375233037865566,0,0,13.0,0.0,0.0,1.0,1
3,0,0.08502487549395601,1,0,18.0,0.0,0.0,1.0,0
3,0,0.007375233037865566,0,0,7.225,1.0,0.0,0.0,1
2,1,0.3956234453183177,0,0,26.0,0.0,0.0,1.0,0
2,1,0.3179738028622274,0,0,13.0,0.0,0.0,1.0,1
3,0,-1.1573694038034912,0,0,8.0292,0.0,1.0,0.0,1
1,1,-0.14792405187431534,0,0,35.5,0.0,0.0,1.0,1
3,0,-1.7009169009961242,3,1,21.075,0.0,0.0,1.0,0
3,0,0.6285723726865892,1,5,31.3875,0.0,0.0,1.0,1
3,1,0.007375233037865566,0,0,7.225,1.0,0.0,0.0,0
1,1,-0.8467708339791293,3,2,263.0,0.0,0.0,1.0,0
3,0,0.007375233037865566,0,0,7.8792,0.0,1.0,0.0,1
3,1,0.007375233037865566,0,0,7.8958,0.0,0.0,1.0,0
1,1,0.7838716575987701,0,0,27.7208,1.0,0.0,0.0,0
1,0,0.007375233037865566,1,0,146.5208,1.0,0.0,0.0,1
3,0,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,1
2,1,2.802762361457121,0,0,10.5,0.0,0.0,1.0,0
1,1,-0.14792405187431534,1,0,82.1708,1.0,0.0,0.0,0
1,1,0.9391709425109508,1,0,52.0,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.2292,1.0,0.0,0.0,1
3,1,-0.6914715490669485,0,0,8.05,0.0,0.0,1.0,0
3,0,-0.92442047643522,2,0,18.0,0.0,0.0,1.0,0
3,0,-1.2350190462595816,1,0,11.2417,1.0,0.0,0.0,1
3,0,0.7838716575987701,1,0,9.475,0.0,0.0,1.0,0
2,0,-0.22557369433040575,1,0,21.0,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.8958,1.0,0.0,0.0,0
2,0,-2.0891651132765765,1,2,41.5792,1.0,0.0,0.0,1
3,0,-0.8467708339791293,0,0,7.8792,0.0,1.0,0.0,1
3,1,0.007375233037865566,0,0,8.05,0.0,0.0,1.0,0
3,1,0.007375233037865566,1,0,15.5,0.0,1.0,0.0,0
3,0,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,1
3,1,0.007375233037865566,2,0,21.6792,1.0,0.0,0.0,0
3,0,-0.92442047643522,1,0,17.8,0.0,0.0,1.0,0
3,1,-1.7785665434522149,4,1,39.6875,0.0,0.0,1.0,0
3,1,-0.6914715490669485,0,0,7.8,0.0,0.0,1.0,0
1,0,1.4827184397035842,1,0,76.7292,1.0,0.0,0.0,1
2,0,-0.07027440941822488,1,0,26.0,0.0,0.0,1.0,1
1,1,2.725112719001032,0,1,61.9792,1.0,0.0,0.0,0
1,1,0.007375233037865566,0,0,35.5,0.0,0.0,1.0,1
